Name,Material,Asc2,Asc3,Asc4,AscMax,Skl2,Skl3,Skl4,Skl5,Skl6,Skl7,Skl8,Skl9,Skl10
Mash Kyrielight,Proof of Hero,0,0,0,0,15,0,0,0,0,0,0,0,0
Mash Kyrielight,Dragon Fang,0,0,0,0,0,15,0,0,0,0,0,0,0
Mash Kyrielight,Seed of Yggdrasil,0,0,0,0,0,0,15,0,0,0,0,0,0
Mash Kyrielight,Octuplet Crystals,0,0,0,0,0,0,0,15,0,0,0,0,0
Mash Kyrielight,Void's Dust,0,0,0,0,0,0,0,0,15,0,0,0,0
Mash Kyrielight,Eternal Gear,0,0,0,0,0,0,0,0,0,15,0,0,0
Mash Kyrielight,Phoenix Feather,0,0,0,0,0,0,0,0,0,0,15,0,0
Mash Kyrielight,Dragon's Reverse Scale,0,0,0,0,0,0,0,0,0,0,0,15,0
Mash Kyrielight,Crystallized Lore,0,0,0,0,0,0,0,0,0,0,0,0,3
Houzouin Inshun,Lancer Piece,4,8,0,0,0,0,0,0,0,0,0,0,0
Houzouin Inshun,Warhorse's Young Horn,0,3,0,0,0,0,0,0,0,6,12,0,0
Houzouin Inshun,Lancer Monument,0,0,4,8,0,0,0,0,0,0,0,0,0
Houzouin Inshun,Octuplet Crystals,0,0,7,0,0,0,0,12,21,0,0,0,0
Houzouin Inshun,Phoenix Feather,0,0,3,6,0,0,0,0,0,0,0,0,0
Houzouin Inshun,Heart of the Foreign God,0,0,0,4,0,0,0,0,0,0,0,0,0
Houzouin Inshun,Gem of Lancer,0,0,0,0,12,24,0,0,0,0,0,0,0
Houzouin Inshun,Magic Gem of Lancer,0,0,0,0,0,0,12,24,0,0,0,0,0
Houzouin Inshun,Secret Gem of Lancer,0,0,0,0,0,0,0,0,12,24,0,0,0
Houzouin Inshun,Refined Magatama,0,0,0,0,0,0,0,0,0,0,12,36,0
Houzouin Inshun,Evil Bone,0,0,0,0,0,0,0,0,0,0,0,144,0
Houzouin Inshun,Crystallized Lore,0,0,0,0,0,0,0,0,0,0,0,0,3
Caster of Okeanos,Caster Piece,4,10,0,0,0,0,0,0,0,0,0,0,0
Caster of Okeanos,Forbidden Page,0,6,0,0,0,0,0,0,0,12,24,0,0
Caster of Okeanos,Caster Monument,0,0,4,10,0,0,0,0,0,0,0,0,0
Caster of Okeanos,Primordial Lanugo,0,0,5,0,0,0,0,9,15,0,0,0,0
Caster of Okeanos,Phoenix Feather,0,0,4,7,0,0,0,0,0,0,0,0,0
Caster of Okeanos,Scarab of Wisdom,0,0,0,4,0,0,0,0,0,0,0,0,0
Caster of Okeanos,Gem of Caster,0,0,0,0,12,30,0,0,0,0,0,0,0
Caster of Okeanos,Magic Gem of Caster,0,0,0,0,0,0,12,30,0,0,0,0,0
Caster of Okeanos,Secret Gem of Caster,0,0,0,0,0,0,0,0,12,30,0,0,0
Caster of Okeanos,Stake of Wailing Night,0,0,0,0,0,0,0,0,0,0,45,135,0
Caster of Okeanos,Heart of the Foreign God,0,0,0,0,0,0,0,0,0,0,0,24,0
Caster of Okeanos,Crystallized Lore,0,0,0,0,0,0,0,0,0,0,0,0,3
Mecha Eli-chan Mk.II,B Pellet,1,1,1,1,0,0,0,0,0,0,0,0,0
Mecha Eli-chan Mk.II,Gem of Rider,0,0,0,0,12,30,0,0,0,0,0,0,0
Mecha Eli-chan Mk.II,Gem of Berserker,0,0,0,0,12,30,0,0,0,0,0,0,0
Mecha Eli-chan Mk.II,Magic Gem of Rider,0,0,0,0,0,0,12,30,0,0,0,0,0
Mecha Eli-chan Mk.II,Magic Gem of Berserker,0,0,0,0,0,0,12,30,0,0,0,0,0
Mecha Eli-chan Mk.II,Secret Gem of Rider,0,0,0,0,0,0,0,0,12,30,0,0,0
Mecha Eli-chan Mk.II,Secret Gem of Berserker,0,0,0,0,0,0,0,0,12,30,0,0,0
Mecha Eli-chan Mk.II,Tearstone of Blood,0,0,0,0,0,0,0,0,0,0,12,0,0
Mecha Eli-chan Mk.II,Black Beast Grease,0,0,0,0,0,0,0,0,0,0,12,0,0
Mecha Eli-chan Mk.II,Dragon's Reverse Scale,0,0,0,0,0,0,0,0,0,0,0,21,0
Mecha Eli-chan Mk.II,Mysterious Divine Wine,0,0,0,0,0,0,0,0,0,0,0,21,0
Mecha Eli-chan Mk.II,Crystallized Lore,0,0,0,0,0,0,0,0,0,0,0,0,3
Mecha Eli-chan,B Pellet,1,1,1,1,0,0,0,0,0,0,0,0,0
Mecha Eli-chan,Gem of Rider,0,0,0,0,12,30,0,0,0,0,0,0,0
Mecha Eli-chan,Gem of Berserker,0,0,0,0,12,30,0,0,0,0,0,0,0
Mecha Eli-chan,Magic Gem of Rider,0,0,0,0,0,0,12,30,0,0,0,0,0
Mecha Eli-chan,Magic Gem of Berserker,0,0,0,0,0,0,12,30,0,0,0,0,0
Mecha Eli-chan,Secret Gem of Rider,0,0,0,0,0,0,0,0,12,30,0,0,0
Mecha Eli-chan,Secret Gem of Berserker,0,0,0,0,0,0,0,0,12,30,0,0,0
Mecha Eli-chan,Tearstone of Blood,0,0,0,0,0,0,0,0,0,0,12,0,0
Mecha Eli-chan,Black Beast Grease,0,0,0,0,0,0,0,0,0,0,12,0,0
Mecha Eli-chan,Dragon's Reverse Scale,0,0,0,0,0,0,0,0,0,0,0,21,0
Mecha Eli-chan,Mysterious Divine Wine,0,0,0,0,0,0,0,0,0,0,0,21,0
Mecha Eli-chan,Crystallized Lore,0,0,0,0,0,0,0,0,0,0,0,0,3
Osakabehime,Assassin Piece,5,12,0,0,0,0,0,0,0,0,0,0,0
Osakabehime,Seed of Yggdrasil,0,9,0,0,0,0,0,0,0,18,36,0,0
Osakabehime,Assassin Monument,0,0,5,12,0,0,0,0,0,0,0,0,0
Osakabehime,Void's Dust,0,0,20,0,0,0,0,30,60,0,0,0,0
Osakabehime,Forbidden Page,0,0,5,10,0,0,0,0,0,0,0,0,0
Osakabehime,Spirit Root,0,0,0,5,0,0,0,0,0,0,0,0,0
Osakabehime,Gem of Assassin,0,0,0,0,15,36,0,0,0,0,0,0,0
Osakabehime,Magic Gem of Assassin,0,0,0,0,0,0,15,36,0,0,0,0,0
Osakabehime,Secret Gem of Assassin,0,0,0,0,0,0,0,0,15,36,0,0,0
Osakabehime,Mysterious Divine Wine,0,0,0,0,0,0,0,0,0,0,9,24,0
Osakabehime,Refined Magatama,0,0,0,0,0,0,0,0,0,0,0,72,0
Osakabehime,Crystallized Lore,0,0,0,0,0,0,0,0,0,0,0,0,3
Kiyohime (Lancer),Lancer Piece,4,10,0,0,0,0,0,0,0,0,0,0,0
Kiyohime (Lancer),Octuplet Crystals,0,6,0,0,0,0,0,0,0,12,24,0,0
Kiyohime (Lancer),Lancer Monument,0,0,4,10,0,0,0,0,0,0,0,0,0
Kiyohime (Lancer),Shell of Reminiscence,0,0,8,0,0,0,0,12,24,0,0,0,0
Kiyohime (Lancer),Black Beast Grease,0,0,3,5,0,0,0,0,0,0,0,0,0
Kiyohime (Lancer),Lamp of Evil-Sealing,0,0,0,6,0,0,0,0,0,0,0,0,0
Kiyohime (Lancer),Gem of Lancer,0,0,0,0,12,30,0,0,0,0,0,0,0
Kiyohime (Lancer),Magic Gem of Lancer,0,0,0,0,0,0,12,30,0,0,0,0,0
Kiyohime (Lancer),Secret Gem of Lancer,0,0,0,0,0,0,0,0,12,30,0,0,0
Kiyohime (Lancer),Dragon Fang,0,0,0,0,0,0,0,0,0,0,36,108,0
Kiyohime (Lancer),Dragon's Reverse Scale,0,0,0,0,0,0,0,0,0,0,0,24,0
Kiyohime (Lancer),Crystallized Lore,0,0,0,0,0,0,0,0,0,0,0,0,3
Scathach (Assassin),Bell-Ringing Branch,1,1,1,1,0,0,0,0,0,0,0,0,0
Scathach (Assassin),Gem of Assassin,0,0,0,0,12,30,0,0,0,0,0,0,0
Scathach (Assassin),Magic Gem of Assassin,0,0,0,0,0,0,12,30,0,0,0,0,0
Scathach (Assassin),Seed of Yggdrasil,0,0,0,0,0,0,0,15,30,0,0,0,0
Scathach (Assassin),Secret Gem of Assassin,0,0,0,0,0,0,0,0,12,30,0,0,0
Scathach (Assassin),Shell of Reminiscence,0,0,0,0,0,0,0,0,0,12,24,0,0
Scathach (Assassin),Spirit Root,0,0,0,0,0,0,0,0,0,0,6,18,0
Scathach (Assassin),Scarab of Wisdom,0,0,0,0,0,0,0,0,0,0,0,24,0
Scathach (Assassin),Crystallized Lore,0,0,0,0,0,0,0,0,0,0,0,0,3
